Cell ID	Centroid X um	Centroid Y um	Area µm^2	DAPI: Mean	DAPI: Median	CD3e: Mean	CD3e: Median	Nucleus: CD3e: Mean	Cell Type
cell-032	246.94103	171.637419	64.996304	126.10062	64.35836	54.379382	40.205374	40.551365	B cell
cell-033	22.498483	51.181707	139.726238	67.625149	122.551423	39.300485	20.143848	46.091999	Other
cell-034	143.582638	106.386964	77.730009	116.638953	73.318289	21.646098	43.773628	36.867996	T cell
cell-035	67.730989	175.354168	114.415736	132.747044	106.387727	44.620315	32.484429	27.872214	B cell
cell-036	409.500596	364.938241	99.944134	130.953789	53.750093	44.896858	28.365612	69.047604	Other
cell-037	309.119445	375.076342	151.546655	134.573708	147.879249	35.660197	55.340415	27.611758	T cell
cell-038	39.964885	129.297991	23.020812	89.920813	182.300413	36.37425	37.30683	34.114639	B cell
cell-039	193.738124	101.869517	34.439788	135.674022	76.753707	41.970223	60.185753	33.996131	Other
cell-040	453.122948	508.73906	66.388989	213.920868	89.623954	78.783599	25.163824	39.620919	T cell
cell-041	305.489344	19.215617	119.574898	123.059315	95.265083	81.385857	42.025554	32.866094	B cell
cell-042	205.583553	47.404693	112.109268	154.734507	59.121725	44.041067	30.785871	22.4395	Other
cell-043	180.717315	363.315786	151.458617	130.120699	150.13766	37.479729	45.038302	39.608096	T cell
cell-044	44.247479	147.464659	84.164904	83.030918	82.03802	40.199455	19.027872	52.752386	B cell
cell-045	76.997582	314.911881	149.052034	96.790742	177.598491	37.325282	19.771196	34.903334	Other
cell-046	344.056506	231.648778	115.00607	90.346834	50.982866	34.427799	39.040849	60.867836	T cell
cell-047	460.341618	483.730739	46.58593	70.889584	140.094676	91.510214	16.770877	49.329512	B cell
cell-048	432.301785	87.615812	103.332111	96.996277	72.136084	25.492798	38.538917	45.094639	Other
cell-049	61.888603	409.140947	94.142958	96.703136	79.126644	36.527535	17.679581	45.044672	T cell
cell-050	61.913538	92.705406	25.150158	79.42504	98.576125	41.092939	20.246308	21.059146	B cell
cell-051	63.762303	23.011496	125.045033	77.078999	85.413294	50.998401	28.758121	64.521364	Other
cell-052	202.959939	457.558693	65.711564	77.655433	83.219475	96.305387	22.861139	48.648072	T cell
cell-053	152.418255	189.893602	148.16357	211.642277	98.850936	30.774577	36.39546	125.449637	B cell
cell-054	474.878055	334.422214	50.416299	92.157435	95.20567	30.858321	36.305041	30.647729	Other
cell-055	485.922236	122.52002	84.166347	171.265268	90.294409	26.867696	23.398503	50.613953	T cell
cell-056	245.21624	34.677971	34.020621	96.225595	155.797796	45.084743	36.667173	44.991571	B cell
cell-057	411.132825	291.581885	54.244722	88.790795	124.840878	82.402852	43.745302	73.186032	Other
cell-058	75.918563	209.612095	126.514216	165.583231	107.229754	67.56972	27.273388	41.48508	T cell
cell-059	415.830619	313.052063	148.898001	111.183961	66.475911	57.625166	39.927712	40.199054	B cell
cell-060	249.487522	1.151986	71.573579	90.451626	83.089367	21.257635	53.967456	66.066492	Other
cell-061	125.823272	201.077835	133.282399	84.877817	89.856042	44.047904	35.126306	19.381885	T cell
cell-062	386.600525	408.10765	88.941955	92.929044	106.815406	33.532888	56.882085	20.508931	B cell
cell-063	17.146093	149.092316	68.412557	78.996351	115.390197	32.583363	29.94433	29.81005	Other
cell-064	135.853732	429.410044	49.469155	86.933384	102.996001	43.891506	48.694321	30.383287	T cell
cell-065	454.505983	381.776758	123.491095	103.122192	121.544977	55.723357	43.742207	13.863532	B cell
cell-066	243.422744	39.384242	103.565197	163.505426	65.892669	18.943536	38.873428	83.335433	Other
cell-067	185.464762	359.733375	93.853859	105.169564	72.434424	67.724071	44.02104	62.824301	T cell
cell-068	433.088659	437.902848	155.313582	109.54112	86.423857	40.489956	18.666721	86.333447	B cell
cell-069	371.58388	481.954068	158.40422	99.401847	91.848085	43.382511	16.191732	30.76566	Other
cell-070	494.753006	500.004281	130.33196	131.41751	93.495143	22.509789	49.336239	49.435798	T cell
cell-071	360.228259	27.38433	134.552103	137.825674	72.909524	34.692675	42.812981	20.461137	B cell
cell-072	383.428212	345.279549	26.087797	101.540467	94.078869	37.426379	40.832066	35.630491	Other
cell-073	101.269947	416.264867	62.401231	109.55406	125.311666	23.254513	46.997674	43.417689	T cell
cell-074	51.60705	464.755903	86.364843	99.269279	83.896982	15.724512	55.694246	28.920131	B cell
cell-075	439.61898	236.476408	125.731032	97.268067	50.267619	44.367984	41.851278	42.281341	Other
cell-076	370.878421	322.995138	131.436804	82.041985	92.964403	38.648736	47.401541	33.130506	T cell
cell-077	325.027645	255.241072	88.91023	110.220303	109.232222	42.437365	19.630774	51.835983	B cell
cell-078	359.200219	266.015047	28.433873	88.613777	108.600051	49.637819	24.893879	63.839911	Other
cell-079	58.178874	120.002275	62.373169	87.935868	84.664639	34.920422	45.216001	30.133408	T cell
cell-080	21.251403	12.475787	100.349168	126.720669	74.4836	48.694948	24.308838	53.842277	B cell
